id,name,category,price_tier,neighborhoods,opening_hour,closing_hour,average_rating ,good_for_kids
42,Meedoo,Indian,medium,soho,10:59,20:00,3,true
43,Zoombox,Chinese,cheap,upper west side,10:59,20:00,3,false
44,Rhycero,Indian,medium,down town,11:00,20:00,2,true
45,Aimbo,American,expensive,down town,10:59,20:00,2,true
46,Yabox,Indian,expensive,upper west side,11:00,20:00,1,true
47,Flipopia,American,cheap,upper west side,10:59,20:00,1,true
48,Camimbo,Indian,medium,midtown,10:59,20:00,3,true
49,Aibox,Japanese,medium,down town,10:59,20:00,5,false
50,Voonte,American,medium,upper east side,10:59,20:00,4,false
51,Vimbo,Indian,medium,upper west side,10:59,20:00,3,true
52,Browsetype,Indian,medium,midtown,10:59,20:00,3,true
53,Browsecat,Indian,medium,down town,10:59,20:00,5,true
54,Skivee,American,expensive,upper east side,10:59,20:00,3,true
55,Gabcube,Japanese,cheap,down town,10:59,20:00,2,false
56,Demivee,Chinese,cheap,upper east side,10:59,20:00,5,true
57,Twimm,Chinese,expensive,down town,10:59,20:00,2,true
58,Gevee,Japanese,cheap,upper west side,10:59,20:00,2,false
59,Voonte,American,medium,upper west side,10:59,20:00,4,false
60,Gabcube,Indian,expensive,down town,10:59,20:00,4,true
61,Dynabox,Japanese,medium,upper west side,10:59,20:00,1,false
62,Quaxo,Indian,expensive,upper west side,10:59,20:00,2,false
63,Riffwire,Indian,cheap,upper east side,10:59,20:00,3,false
64,Babbleblab,American,medium,soho,10:59,20:00,2,false
65,Thoughtmix,American,medium,upper west side,10:59,20:00,2,true
66,Photolist,Chinese,cheap,midtown,10:59,20:00,4,true
67,Einti,Chinese,medium,soho,10:59,20:00,4,false
68,Eare,Indian,medium,upper west side,10:59,20:00,3,true
69,Voonyx,American,cheap,midtown,10:59,20:00,1,false
70,Zoomcast,Japanese,medium,midtown,10:59,20:00,5,false
71,Devcast,Chinese,cheap,upper west side,10:59,20:00,2,true
72,Realblab,American,medium,upper east side,10:59,20:00,1,false
73,Jabbersphere,Japanese,expensive,midtown,10:59,20:00,1,true
74,Jaxnation,Chinese,cheap,midtown,10:59,20:00,4,true
75,Skajo,Japanese,expensive,soho,10:59,20:00,3,true
76,Twitterbeat,Chinese,medium,soho,10:59,20:00,5,true
77,Quatz,Indian,expensive,down town,10:59,20:00,1,false
78,Fanoodle,Indian,cheap,soho,10:59,20:00,3,true
79,Dabfeed,Chinese,medium,soho,10:59,20:00,4,true
80,Oyonder,Indian,cheap,down town,10:59,20:00,1,true
81,Buzzster,Chinese,cheap,upper west side,10:59,20:00,2,false
82,Zoonder,Japanese,expensive,upper west side,10:59,20:00,5,false
83,Buzzster,Indian,medium,soho,10:59,20:00,5,true
84,Tagcat,Chinese,cheap,down town,10:59,20:00,3,false
85,Riffpedia,Indian,expensive,upper west side,10:59,20:00,1,false
86,Teklist,Indian,cheap,down town,10:59,20:00,2,true
87,Photobug,American,expensive,soho,10:59,20:00,3,true
88,Demivee,Chinese,medium,upper west side,10:59,20:00,2,false
89,Miboo,American,expensive,upper east side,10:59,20:00,3,false
90,Demimbu,Chinese,cheap,soho,10:59,20:00,5,false
91,Youfeed,Chinese,cheap,soho,10:59,20:00,5,true
92,Gabtune,American,cheap,midtown,10:59,20:00,4,true
93,Oodoo,American,expensive,upper west side,10:59,20:00,4,true
94,Flashset,Chinese,expensive,upper west side,10:59,20:00,1,false
95,Buzzshare,Japanese,expensive,midtown,11:00,20:00,3,true
96,Thoughtblab,American,medium,soho,10:59,20:00,3,false
97,Skiba,Japanese,cheap,upper west side,10:59,20:00,5,false
98,Devbug,Japanese,cheap,down town,10:59,20:00,1,false
99,Jabbersphere,Chinese,cheap,upper west side,10:59,20:00,3,true
100,Meeveo,Japanese,medium,soho,10:59,20:00,5,true
101,Quimba,Japanese,cheap,down town,10:59,20:00,1,true
102,Devpulse,American,cheap,upper east side,10:59,20:00,5,false
103,Thoughtstorm,Chinese,expensive,midtown,10:59,20:00,2,false
104,Buzzster,American,expensive,midtown,10:59,20:00,5,false
105,Ailane,Chinese,expensive,soho,10:59,20:00,2,true
106,Shufflester,Japanese,expensive,midtown,10:59,20:00,3,false
107,Flashspan,Chinese,cheap,midtown,10:59,20:00,5,false
108,Youbridge,Indian,medium,upper east side,10:59,20:00,3,true
109,Fanoodle,Indian,medium,down town,10:59,20:00,5,true
110,Babbleset,Chinese,expensive,midtown,10:59,20:00,1,false
111,Kwimbee,Japanese,medium,upper east side,10:59,20:00,4,false
112,Gabvine,American,cheap,upper east side,10:59,20:00,2,true
113,Rooxo,American,cheap,upper west side,10:59,20:00,3,false
114,Blogtags,Japanese,cheap,upper west side,10:59,20:00,2,true
115,Twimbo,Japanese,cheap,down town,10:59,20:00,3,false
116,Linklinks,American,expensive,down town,10:59,20:00,5,true
117,Roomm,Chinese,cheap,upper west side,10:59,20:00,2,true
118,Tanoodle,American,expensive,upper east side,10:59,20:00,1,false
119,Devpulse,Japanese,medium,soho,10:59,20:00,3,true
120,Voomm,American,expensive,upper east side,10:59,20:00,4,false
121,Tagtune,Chinese,cheap,midtown,10:59,20:00,3,false
122,Skiptube,Indian,medium,upper west side,10:59,20:00,2,false
123,Flashpoint,Indian,medium,upper east side,10:59,20:00,4,true
124,Oyoyo,Japanese,cheap,down town,10:59,20:00,3,true
125,Gigaclub,Chinese,expensive,upper east side,10:59,20:00,1,false
126,Meezzy,American,cheap,down town,10:59,20:00,3,false
127,Dabtype,Indian,medium,down town,10:59,20:00,5,true
128,Youopia,Japanese,medium,soho,10:59,20:00,5,false
129,Trupe,Japanese,expensive,upper west side,10:59,20:00,3,true
130,Demizz,Indian,medium,upper west side,10:59,20:00,5,true
131,Thoughtmix,Japanese,expensive,soho,10:59,20:00,2,false
132,Wikizz,American,medium,midtown,10:59,20:00,1,true
133,Dabjam,Indian,medium,midtown,10:59,20:00,2,false
134,Meevee,Indian,expensive,down town,10:59,20:00,2,false
135,Feedfire,Chinese,expensive,soho,10:59,20:00,5,true
136,Voomm,Japanese,cheap,soho,10:59,20:00,4,true
137,Feedspan,Japanese,medium,upper west side,10:59,20:00,2,false
138,Skyvu,Japanese,cheap,upper west side,10:59,20:00,1,false
139,Skalith,American,cheap,soho,10:59,20:00,1,false
140,Gevee,Indian,expensive,midtown,10:59,20:00,4,true
141,Photospace,American,expensive,soho,10:59,20:00,1,false
142,Photojam,Indian,medium,soho,10:59,20:00,5,false
143,Meeveo,American,cheap,upper east side,10:59,20:00,4,false
144,Feedfish,American,expensive,down town,10:59,20:00,1,true
145,Voomm,Japanese,medium,midtown,10:59,20:00,4,false
146,Tagpad,Indian,medium,soho,10:59,20:00,3,false
147,Omba,Chinese,medium,soho,10:59,20:00,5,false
148,Devpoint,Indian,cheap,soho,10:59,20:00,1,false
149,Devify,Japanese,expensive,upper east side,10:59,20:00,2,false
150,Livefish,American,expensive,soho,10:59,20:00,2,true
151,Ooba,Japanese,cheap,soho,10:59,20:00,2,false
152,InnoZ,American,expensive,down town,10:59,20:00,4,true
153,Thoughtworks,Japanese,cheap,upper west side,10:59,20:00,5,true
154,Thoughtmix,Indian,expensive,upper east side,10:59,20:00,3,false
155,Thoughtsphere,Japanese,medium,upper west side,10:59,20:00,4,false
156,Skibox,Japanese,expensive,upper west side,10:59,20:00,5,true
157,LiveZ,Japanese,expensive,down town,10:59,20:00,3,false
158,Kwinu,Chinese,expensive,upper west side,10:59,20:00,1,false
159,Yodel,Japanese,medium,upper west side,10:59,20:00,4,false
160,Bubbletube,American,medium,upper east side,10:59,20:00,3,true
161,Photobean,Japanese,medium,soho,10:59,20:00,5,true
162,Yambee,Indian,cheap,upper west side,10:59,20:00,3,true
163,Tekfly,American,expensive,midtown,10:59,20:00,3,true
164,Meevee,American,expensive,midtown,10:59,20:00,1,true
165,Oba,Indian,expensive,down town,10:59,20:00,2,true
166,Gabtype,American,medium,down town,10:59,20:00,5,false
167,Divanoodle,Chinese,cheap,upper west side,10:59,20:00,5,false
168,Thoughtsphere,Chinese,cheap,midtown,10:59,20:00,1,true
169,Mita,Indian,cheap,upper east side,10:59,20:00,4,true
170,Skinix,Chinese,expensive,upper west side,10:59,20:00,1,false
171,Mydo,Chinese,expensive,midtown,10:59,20:00,1,true
172,Flashspan,Indian,medium,down town,10:59,20:00,2,true
173,Abatz,Indian,cheap,down town,10:59,20:00,1,false
174,Wordpedia,Japanese,expensive,upper east side,10:59,20:00,4,false
175,Jatri,Chinese,expensive,soho,10:59,20:00,1,false
176,Oyoba,Indian,expensive,soho,10:59,20:00,3,false
177,Avamba,American,cheap,upper east side,10:59,20:00,3,true
178,Babbleopia,Japanese,expensive,down town,10:59,20:00,5,false
179,Rhynoodle,Chinese,cheap,down town,10:59,20:00,3,true
180,Dynabox,Indian,expensive,upper west side,10:59,20:00,2,true
181,Zoomdog,Indian,cheap,down town,10:59,20:00,3,false
182,Avaveo,Indian,expensive,soho,10:59,20:00,3,false
183,Katz,American,expensive,down town,10:59,20:00,3,true
184,Quinu,Chinese,cheap,midtown,10:59,20:00,4,false
185,Jaxnation,American,expensive,upper west side,10:59,20:00,5,false
186,Wordtune,Japanese,medium,midtown,10:59,20:00,4,false
187,Kazu,American,medium,upper west side,10:59,20:00,4,true
188,Minyx,Indian,expensive,midtown,10:59,20:00,5,true
189,Babblestorm,Chinese,cheap,midtown,10:59,20:00,2,false
190,Devcast,American,cheap,upper east side,10:59,20:00,1,false
191,Rhynyx,Indian,expensive,midtown,10:59,20:00,1,true
192,Zava,Chinese,expensive,midtown,10:59,20:00,2,false
193,Miboo,Japanese,medium,down town,10:59,20:00,3,false
194,Mudo,Japanese,cheap,upper west side,10:59,20:00,3,true
195,Edgeblab,Japanese,cheap,down town,10:59,20:00,5,true
196,InnoZ,Chinese,medium,midtown,10:59,20:00,1,true
197,Babbleblab,Japanese,medium,down town,10:59,20:00,1,false
198,Trudoo,Indian,expensive,upper east side,10:59,20:00,3,false
199,Jabberstorm,American,expensive,down town,10:59,20:00,4,false
200,Latz,Indian,cheap,midtown,10:59,20:00,3,false
201,Flipbug,Indian,medium,upper east side,10:59,20:00,1,true
202,Brightdog,Japanese,expensive,midtown,10:59,20:00,3,false
203,Feedbug,Chinese,cheap,upper west side,10:59,20:00,5,true
204,Yodoo,American,expensive,soho,10:59,20:00,2,false
205,Muxo,Indian,medium,upper west side,10:59,20:00,5,false
206,Rhycero,Chinese,cheap,soho,10:59,20:00,4,true
207,Voomm,American,medium,upper east side,10:59,20:00,5,false
208,Skajo,American,cheap,upper west side,10:59,20:00,3,false
209,Trupe,American,cheap,upper east side,10:59,20:00,1,true
210,Roodel,Chinese,medium,down town,10:59,20:00,5,true
211,Pixonyx,Japanese,expensive,upper east side,10:59,20:00,3,true
212,Kwideo,Chinese,expensive,upper east side,10:59,20:00,3,true
213,Zooxo,Japanese,cheap,soho,10:59,20:00,3,true
214,Brightdog,American,expensive,soho,10:59,20:00,4,true
215,Mynte,Japanese,medium,down town,11:00,20:00,5,true
216,Jaxworks,Indian,cheap,midtown,10:59,20:00,5,true
217,Skinix,Chinese,medium,soho,10:59,20:00,4,true
218,Quimm,American,cheap,soho,10:59,20:00,5,false
219,Topiclounge,Chinese,cheap,midtown,10:59,20:00,4,true
220,Lazzy,Chinese,expensive,upper east side,10:59,20:00,2,false
221,Avamm,American,cheap,soho,10:59,20:00,1,true
222,Blognation,Chinese,cheap,upper east side,10:59,20:00,4,false
223,Oyoyo,Indian,cheap,down town,10:59,20:00,2,true
224,Blognation,American,medium,midtown,10:59,20:00,5,false
225,Cogidoo,Japanese,medium,upper east side,10:59,20:00,3,false
226,Skyba,Indian,medium,upper east side,10:59,20:00,3,true
227,Jaloo,Chinese,cheap,down town,10:59,20:00,3,true
228,Gabvine,Chinese,medium,upper east side,10:59,20:00,3,false
229,Riffwire,Chinese,medium,upper east side,10:59,20:00,2,false
230,Topiczoom,Chinese,expensive,upper west side,10:59,20:00,2,false
231,Kimia,Indian,cheap,down town,10:59,20:00,4,false
232,Teklist,Japanese,cheap,down town,10:59,20:00,2,false
233,Topdrive,Japanese,expensive,down town,10:59,20:00,3,true
234,Quatz,Japanese,cheap,down town,10:59,20:00,4,false
235,Yacero,Japanese,medium,upper west side,10:59,20:00,5,false
236,Tazz,Chinese,expensive,upper west side,10:59,20:00,5,false
237,Fivebridge,American,medium,soho,10:59,20:00,2,true
238,Zoomzone,Chinese,medium,soho,10:59,20:00,1,false
239,Myworks,American,medium,soho,10:59,20:00,2,false
240,Fivebridge,Indian,cheap,midtown,10:59,20:00,3,false
241,Jaxbean,Japanese,medium,midtown,10:59,20:00,2,true
242,Gabtune,Indian,expensive,soho,10:59,20:00,1,false
243,Kimia,Chinese,expensive,soho,10:59,20:00,3,true
244,Riffpath,American,cheap,upper west side,10:59,20:00,1,false
245,Zoonoodle,American,expensive,soho,10:59,20:00,4,false
246,Centimia,Chinese,medium,upper east side,10:59,20:00,1,false
247,Babblestorm,American,expensive,upper west side,10:59,20:00,5,true
248,Linkbridge,Indian,medium,down town,10:59,20:00,4,false
249,Livepath,Chinese,expensive,down town,10:59,20:00,4,false
250,Tanoodle,Japanese,expensive,down town,10:59,20:00,4,false
251,Skajo,Japanese,expensive,soho,10:59,20:00,5,true
252,Brainverse,Chinese,medium,midtown,10:59,20:00,2,false
253,Skajo,American,medium,soho,10:59,20:00,4,false
254,Dabshots,American,cheap,upper west side,10:59,20:00,3,false
255,Flipopia,Indian,medium,upper east side,10:59,20:00,1,true
256,Twinder,Indian,medium,down town,10:59,20:00,5,false
257,Skippad,Indian,cheap,soho,10:59,20:00,5,false
258,Rhybox,Chinese,medium,upper west side,10:59,20:00,1,false
259,Edgeblab,Japanese,expensive,midtown,10:59,20:00,1,false
260,Babblestorm,Japanese,expensive,down town,10:59,20:00,4,true
261,Tagfeed,Indian,cheap,down town,10:59,20:00,1,true
262,Lazzy,Indian,expensive,upper west side,10:59,20:00,2,true
263,Blognation,American,expensive,soho,10:59,20:00,2,true
264,Roodel,American,medium,upper east side,10:59,20:00,4,true
265,Zava,Chinese,medium,soho,10:59,20:00,1,true
266,Flashspan,Chinese,medium,down town,10:59,20:00,1,false
267,Feedfire,American,medium,upper east side,10:59,20:00,5,true
268,Yacero,Chinese,medium,soho,10:59,20:00,2,true
269,Tagopia,American,expensive,midtown,10:59,20:00,2,true
270,Photobug,Japanese,expensive,midtown,10:59,20:00,5,true
271,Yodel,Japanese,medium,down town,10:59,20:00,4,false
272,Jabbertype,Japanese,cheap,upper west side,10:59,20:00,4,false
273,Pixope,Indian,medium,upper east side,10:59,20:00,2,true
274,Oba,Japanese,expensive,upper west side,10:59,20:00,1,false
275,Livetube,Indian,medium,upper west side,10:59,20:00,3,false
276,Skyba,Indian,medium,midtown,10:59,20:00,2,true
277,Feednation,American,cheap,midtown,10:59,20:00,4,false
278,Wikido,American,cheap,down town,10:59,20:00,3,true
279,Eamia,American,cheap,upper west side,10:59,20:00,1,true
280,Skipfire,Indian,medium,soho,10:59,20:00,3,true
281,Nlounge,Indian,cheap,midtown,10:59,20:00,5,true
282,Izio,Indian,cheap,soho,10:59,20:00,4,true
283,Avavee,Chinese,medium,midtown,10:59,20:00,2,false
284,Janyx,Japanese,medium,upper east side,10:59,20:00,4,true
285,Skynoodle,Chinese,expensive,midtown,10:59,20:00,3,false
286,Mybuzz,Chinese,medium,down town,10:59,20:00,1,true
287,Skimia,Indian,expensive,down town,10:59,20:00,2,false
288,Flashset,Indian,medium,down town,10:59,20:00,4,false
289,Gigaclub,Indian,medium,down town,10:59,20:00,5,true
290,Wikido,Japanese,cheap,upper west side,10:59,20:00,5,false
291,Topdrive,Indian,cheap,upper west side,10:59,20:00,3,true
292,Skilith,Japanese,expensive,midtown,10:59,20:00,4,false
293,Rhyloo,Japanese,medium,upper east side,10:59,20:00,4,false
294,Agimba,American,medium,midtown,10:59,20:00,4,false
295,Mita,Japanese,medium,upper west side,10:59,20:00,3,true
296,Browsezoom,Japanese,expensive,down town,10:59,20:00,2,true
297,Quimm,Chinese,expensive,midtown,10:59,20:00,4,true
298,Jabbersphere,Chinese,expensive,upper west side,10:59,20:00,5,true
299,Rooxo,Indian,cheap,down town,10:59,20:00,5,true
300,Gigabox,Chinese,medium,soho,10:59,20:00,5,false
301,Yabox,Chinese,expensive,down town,10:59,20:00,2,false
302,Mudo,Japanese,cheap,soho,10:59,20:00,5,false
303,Plambee,Japanese,medium,upper west side,11:00,20:00,5,false
304,Rhyzio,Indian,expensive,midtown,10:59,20:00,3,false
305,LiveZ,Chinese,medium,upper east side,10:59,20:00,1,false
306,Devpulse,American,medium,upper east side,10:59,20:00,5,false
307,Quinu,Indian,cheap,down town,10:59,20:00,4,false
308,Cogibox,Japanese,medium,soho,10:59,20:00,1,false
309,Trilith,Indian,expensive,soho,10:59,20:00,5,true
310,Edgeclub,American,medium,soho,10:59,20:00,5,true
311,Kwideo,Japanese,expensive,upper west side,10:59,20:00,3,true
312,Yodo,Indian,expensive,midtown,10:59,20:00,1,true
313,Devpulse,American,expensive,soho,10:59,20:00,5,false
314,Tambee,Chinese,expensive,midtown,10:59,20:00,4,false
315,Tagcat,Chinese,expensive,down town,10:59,20:00,3,false
316,Wikizz,Chinese,expensive,upper east side,10:59,20:00,4,false
317,Kazio,Japanese,cheap,midtown,10:59,20:00,3,false
318,Shuffletag,American,medium,soho,10:59,20:00,3,false
319,Quamba,American,medium,upper east side,10:59,20:00,4,true
320,Tambee,Indian,medium,down town,10:59,20:00,4,false
321,Gabcube,American,expensive,upper east side,10:59,20:00,2,false
322,Eare,American,expensive,down town,10:59,20:00,3,false
323,Vipe,Japanese,medium,soho,10:59,20:00,4,false
324,Fivespan,Indian,expensive,down town,10:59,20:00,2,true
325,Ntags,Indian,expensive,down town,10:59,20:00,1,false
326,Thoughtbeat,Indian,cheap,upper west side,10:59,20:00,2,true
327,Ooba,American,medium,soho,10:59,20:00,4,true
328,Ooba,Indian,medium,upper east side,10:59,20:00,5,false
329,Viva,American,expensive,down town,10:59,20:00,1,false
330,Riffpath,Chinese,cheap,midtown,10:59,20:00,2,true
331,Skidoo,Chinese,expensive,upper east side,11:00,20:00,2,false
332,Fliptune,Japanese,cheap,soho,10:59,20:00,1,false
333,Tagtune,American,cheap,soho,10:59,20:00,5,false
334,Dablist,Chinese,medium,soho,10:59,20:00,2,false
335,Browseblab,American,cheap,soho,10:59,20:00,1,false
336,Omba,Indian,cheap,upper east side,10:59,20:00,1,false
337,Podcat,American,medium,midtown,10:59,20:00,1,true
338,Brainbox,American,cheap,midtown,10:59,20:00,2,false
339,Yodo,Indian,medium,down town,10:59,20:00,5,true
340,Oodoo,American,medium,midtown,10:59,20:00,3,false
341,Yakidoo,Japanese,cheap,upper east side,10:59,20:00,3,false
342,Jayo,Japanese,medium,down town,10:59,20:00,1,true
343,Devify,American,expensive,upper west side,11:00,20:00,2,true
344,Fiveclub,Japanese,expensive,down town,10:59,20:00,5,true
345,Zooveo,Indian,expensive,midtown,10:59,20:00,2,true
346,Fivechat,Indian,medium,upper east side,10:59,20:00,5,false
347,Youspan,Indian,cheap,upper east side,10:59,20:00,1,true
348,Mynte,Chinese,medium,midtown,10:59,20:00,5,true
349,Buzzster,Japanese,cheap,upper east side,10:59,20:00,3,false
350,Realbuzz,Japanese,expensive,soho,10:59,20:00,4,false
351,Meemm,American,medium,midtown,10:59,20:00,5,true
352,Skibox,Chinese,expensive,upper east side,10:59,20:00,5,false
353,Digitube,Chinese,expensive,upper east side,10:59,20:00,3,false
354,Jaloo,Chinese,cheap,soho,10:59,20:00,2,true
355,Tekfly,Indian,medium,upper west side,10:59,20:00,5,true
356,Babbleopia,Chinese,expensive,soho,10:59,20:00,3,false
357,Brightbean,American,cheap,upper west side,10:59,20:00,3,true
358,Flashdog,Chinese,medium,midtown,10:59,20:00,3,true
359,Camido,Indian,cheap,upper west side,10:59,20:00,3,false
360,Edgeify,Japanese,medium,upper east side,10:59,20:00,5,false
361,Vidoo,Chinese,medium,upper west side,10:59,20:00,5,false
362,Oyondu,Japanese,cheap,upper east side,10:59,20:00,3,true
363,Skibox,Japanese,medium,down town,10:59,20:00,5,false
364,Dabfeed,Chinese,medium,midtown,10:59,20:00,2,false
365,Jaxnation,Indian,expensive,down town,11:00,20:00,2,true
366,Leenti,American,medium,upper west side,10:59,20:00,2,true
367,Voomm,Chinese,expensive,upper east side,10:59,20:00,2,false
368,Voomm,American,cheap,soho,10:59,20:00,2,true
369,Twinder,Chinese,medium,upper west side,10:59,20:00,5,true
370,Skinder,American,cheap,down town,10:59,20:00,1,true
371,Digitube,American,cheap,midtown,10:59,20:00,4,false
372,Meetz,Japanese,medium,soho,10:59,20:00,3,false
373,Kare,Indian,cheap,upper west side,10:59,20:00,4,false
374,Thoughtbeat,Indian,expensive,soho,10:59,20:00,1,false
375,Myworks,American,expensive,midtown,10:59,20:00,3,true
376,Brightdog,Chinese,expensive,midtown,10:59,20:00,4,false
377,Brainsphere,American,cheap,upper west side,10:59,20:00,2,false
378,Gabtune,Indian,medium,upper west side,10:59,20:00,3,false
379,Kimia,American,medium,upper west side,10:59,20:00,2,true
380,Kamba,Chinese,medium,midtown,10:59,20:00,4,true
381,Shuffletag,American,medium,upper west side,10:59,20:00,1,false
382,Zoombox,Japanese,medium,upper west side,10:59,20:00,3,false
383,Camido,Indian,expensive,upper west side,10:59,20:00,4,false
384,Devpulse,Japanese,medium,down town,10:59,20:00,3,false
385,Thoughtstorm,American,expensive,down town,10:59,20:00,5,false
386,Eamia,Chinese,medium,upper west side,10:59,20:00,1,false
387,Kayveo,Indian,cheap,down town,10:59,20:00,4,true
388,Linkbuzz,American,cheap,upper east side,10:59,20:00,2,false
389,Zoozzy,Indian,expensive,down town,10:59,20:00,4,true
390,Vinder,Japanese,cheap,upper west side,10:59,20:00,2,true
391,Jabbersphere,Chinese,cheap,midtown,10:59,20:00,5,true
392,Topiczoom,Chinese,expensive,upper east side,10:59,20:00,2,false
393,Tagchat,Chinese,medium,soho,10:59,20:00,1,true
394,Topicware,Chinese,medium,soho,10:59,20:00,4,false
395,Innotype,Chinese,cheap,upper west side,10:59,20:00,1,true
396,Topicblab,Indian,cheap,upper west side,10:59,20:00,4,false
397,Realblab,Chinese,cheap,down town,10:59,20:00,1,false
398,Photobug,Indian,cheap,upper east side,10:59,20:00,3,true
399,Trunyx,American,cheap,down town,10:59,20:00,2,true
400,Dazzlesphere,Indian,expensive,down town,10:59,20:00,1,true
401,Jaxworks,Chinese,cheap,midtown,10:59,20:00,1,false
402,Thoughtmix,Japanese,medium,upper east side,10:59,20:00,4,false
403,Edgetag,Chinese,expensive,upper west side,10:59,20:00,2,true
404,Mymm,Japanese,expensive,upper west side,10:59,20:00,3,true
405,Eabox,American,medium,upper west side,10:59,20:00,5,true
406,Ozu,American,medium,midtown,10:59,20:00,5,false
407,Teklist,Japanese,expensive,upper west side,10:59,20:00,1,true
408,Ailane,Indian,expensive,soho,10:59,20:00,1,false
409,Quimm,Japanese,medium,soho,10:59,20:00,1,false
410,Meembee,Indian,expensive,upper west side,10:59,20:00,2,false
411,Blogtag,Chinese,medium,upper east side,10:59,20:00,2,true
412,Roomm,Indian,expensive,midtown,10:59,20:00,5,false
413,Layo,Japanese,medium,upper east side,10:59,20:00,2,true
414,Cogidoo,American,cheap,soho,10:59,20:00,2,true
415,Tazzy,American,medium,upper west side,10:59,20:00,3,true
416,Photobug,American,expensive,down town,10:59,20:00,3,false
417,Rhyloo,American,medium,upper west side,10:59,20:00,4,true
418,Katz,Indian,medium,down town,10:59,20:00,4,false
419,Thoughtstorm,Chinese,cheap,midtown,10:59,20:00,4,true
420,Latz,Chinese,medium,midtown,10:59,20:00,5,true
421,Trunyx,Chinese,medium,upper east side,10:59,20:00,5,false
422,Avaveo,Japanese,expensive,soho,10:59,20:00,5,false
423,Oozz,Chinese,cheap,down town,10:59,20:00,2,true
424,Photospace,Chinese,medium,soho,10:59,20:00,3,false
425,Jabbercube,Indian,cheap,soho,10:59,20:00,4,true
426,Kwilith,Chinese,medium,upper west side,10:59,20:00,3,true
427,Jaxnation,Japanese,medium,down town,11:00,20:00,3,false
428,Tekfly,Japanese,cheap,midtown,10:59,20:00,4,true
429,Topicblab,Indian,expensive,midtown,10:59,20:00,3,false
430,Livefish,American,medium,upper west side,10:59,20:00,5,false
431,Wordware,American,expensive,midtown,10:59,20:00,4,true
432,Skaboo,American,expensive,upper west side,10:59,20:00,4,true
433,Latz,American,medium,upper east side,10:59,20:00,4,true
434,Tagfeed,Japanese,cheap,midtown,10:59,20:00,4,true
435,Dazzlesphere,Indian,cheap,upper west side,10:59,20:00,5,true
436,Oloo,Chinese,medium,soho,10:59,20:00,2,false
437,Skaboo,Indian,cheap,soho,10:59,20:00,2,true
438,Trudoo,Japanese,expensive,soho,10:59,20:00,3,false
439,Skinte,Japanese,medium,down town,10:59,20:00,2,true
440,Avavee,Japanese,cheap,soho,10:59,20:00,5,true
441,Thoughtworks,Japanese,medium,upper west side,10:59,20:00,3,false
442,Bubblebox,Indian,expensive,upper east side,10:59,20:00,2,false
443,Vinte,Indian,cheap,down town,10:59,20:00,3,false
